Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
238,1673969714202,27.13,33.0,24.556,171.045,0.01
239,1673969714369,27.14,33.0,24.418,171.338,-0.01
240,1673969714535,27.15,33.0,24.38,171.631,-0.01
241,1673969714702,27.17,33.0,24.252,171.922,-0.02
242,1673969714870,27.17,33.0,24.353,172.214,0.0
243,1673969715035,27.18,33.0,24.265,172.505,-0.01
244,1673969715202,27.18,33.0,24.317,172.796,0.0
245,1673969715369,27.18,33.0,24.319,173.087,0.0
246,1673969715534,27.19,33.0,24.23,173.377,-0.01
247,1673969715701,27.2,33.0,24.192,173.667,-0.01
248,1673969715869,27.2,33.0,24.244,173.957,0.0
249,1673969716034,27.21,33.0,24.155,174.247,-0.01
250,1673969716200,27.22,33.0,24.117,174.536,-0.01
251,1673969716367,27.24,33.0,23.989,174.824,-0.02
252,1673969716534,27.24,33.0,24.091,175.112,0.0
253,1673969716700,27.24,33.0,24.092,175.4,0.0
254,1673969716866,27.25,33.0,24.004,175.687,-0.01
255,1673969717033,27.27,33.0,23.876,175.974,-0.02
256,1673969717201,27.27,33.0,23.978,176.26,0.0
257,1673969717366,27.28,33.0,23.889,176.546,-0.01
258,1673969717533,27.27,33.0,24.031,176.833,0.01
259,1673969717700,27.3,33.0,23.713,177.118,-0.03
260,1673969717866,27.29,33.0,23.954,177.403,0.01
261,1673969718032,27.29,33.0,23.906,177.689,0.0
262,1673969718198,27.31,33.0,23.728,177.973,-0.02
263,1673969718365,27.32,33.0,23.74,178.257,-0.01
264,1673969718532,27.33,33.0,23.701,178.541,-0.01
265,1673969718700,27.32,33.0,23.843,178.825,0.01
266,1673969718865,27.33,33.0,23.705,179.108,-0.01
267,1673969719032,27.35,33.0,23.576,179.391,-0.02
268,1673969719200,27.35,33.0,23.678,179.673,0.0
269,1673969719365,27.37,33.0,23.5,179.955,-0.02
270,1673969719532,27.37,33.0,23.601,180.236,0.0
271,1673969719698,27.38,33.0,23.513,180.517,-0.01
272,1673969719865,27.39,33.0,23.475,180.798,-0.01
273,1673969720032,27.39,33.0,23.526,181.078,0.0
274,1673969720198,27.39,33.0,23.528,181.359,0.0
275,1673969720364,27.4,33.0,23.44,181.639,-0.01
276,1673969720531,27.41,33.0,23.402,181.918,-0.01
277,1673969720698,27.42,33.0,23.363,182.197,-0.01
278,1673969720865,27.43,33.0,23.325,182.476,-0.01
279,1673969721032,27.44,33.0,23.287,182.754,-0.01
280,1673969721199,27.45,33.0,23.248,183.031,-0.01
281,1673969721365,27.46,33.0,23.21,183.308,-0.01
282,1673969721532,27.46,33.0,23.262,183.585,0.0
283,1673969721698,27.46,33.0,23.263,183.862,0.0
284,1673969721864,27.47,33.0,23.175,184.139,-0.01
285,1673969722032,27.49,33.0,23.046,184.414,-0.02
286,1673969722198,27.49,33.0,23.148,184.69,0.0
287,1673969722364,27.49,33.0,23.15,184.965,0.0
288,1673969722531,27.51,33.0,22.971,185.24,-0.02
289,1673969722698,27.5,33.0,23.163,185.515,0.01
290,1673969722863,27.51,33.0,23.025,185.789,-0.01
291,1673969723031,27.53,33.0,22.896,186.063,-0.02
292,1673969723197,27.54,33.0,22.908,186.336,-0.01
293,1673969723364,27.54,33.0,22.96,186.609,0.0
294,1673969723530,27.54,33.0,22.961,186.882,0.0
295,1673969723696,27.55,33.0,22.873,187.154,-0.01
296,1673969723863,27.56,33.0,22.835,187.426,-0.01
297,1673969724030,27.57,33.0,22.796,187.698,-0.01
298,1673969724197,27.57,33.0,22.848,187.969,0.0
299,1673969724363,27.59,33.0,22.669,188.24,-0.02
300,1673969724530,27.59,33.0,22.771,188.51,0.0
301,1673969724697,27.6,33.0,22.683,188.78,-0.01
302,1673969724864,27.61,33.0,22.644,189.05,-0.01
303,1673969725030,27.62,33.0,22.606,189.319,-0.01
304,1673969725197,27.62,33.0,22.658,189.588,0.0
305,1673969725364,27.64,33.0,22.479,189.856,-0.02
306,1673969725530,27.64,33.0,22.581,190.124,0.0
