Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temp ()
849,1673365722898,26.91
850,1673365723061,26.91
851,1673365723226,26.9
852,1673365723389,26.91
853,1673365723553,26.91
854,1673365723717,26.89
855,1673365723882,26.91
856,1673365724045,26.91
857,1673365724209,26.91
858,1673365724374,26.91
859,1673365724537,26.91
860,1673365724701,26.91
861,1673365724866,26.91
862,1673365725029,26.91
863,1673365725194,26.91
864,1673365725358,26.92
865,1673365725522,26.92
866,1673365725686,26.92
867,1673365725849,26.93
868,1673365726013,26.92
869,1673365726177,26.92
870,1673365726342,26.92
871,1673365726506,26.93
872,1673365726670,26.92
873,1673365726833,26.87
874,1673365726998,26.93
875,1673365727161,26.93
876,1673365727325,26.93
877,1673365727490,26.92
878,1673365727653,26.93
879,1673365727818,26.92
880,1673365727981,26.93
881,1673365728146,26.93
882,1673365728310,26.93
883,1673365728474,26.9
884,1673365728638,26.93
885,1673365728802,26.93
886,1673365728966,26.93
887,1673365729130,26.94
888,1673365729293,26.93
889,1673365729458,26.94
890,1673365729621,26.94
891,1673365729786,26.93
892,1673365729949,26.94
893,1673365730113,26.91
894,1673365730277,26.94
895,1673365730442,26.94
896,1673365730605,26.94
897,1673365730769,26.94
898,1673365730934,26.94
899,1673365731097,26.94
900,1673365731262,26.94
901,1673365731425,26.94
902,1673365731590,26.94
903,1673365731753,26.94
904,1673365731918,26.94
905,1673365732082,26.94
906,1673365732245,26.95
907,1673365732409,26.95
908,1673365732573,26.95
909,1673365732737,26.96
910,1673365732902,26.95
911,1673365733065,26.93
912,1673365733230,26.95
913,1673365733393,26.96
914,1673365733557,26.95
915,1673365733721,26.96
916,1673365733885,26.98
917,1673365734049,27.0
918,1673365734214,27.05
919,1673365734377,27.1
920,1673365734542,27.12
921,1673365734705,27.14
922,1673365734870,27.2
923,1673365735033,27.23
924,1673365735197,27.27
925,1673365735361,27.34
926,1673365735525,27.35
927,1673365735690,27.38
928,1673365735853,27.39
929,1673365736017,27.4
930,1673365736181,27.41
931,1673365736345,27.4
932,1673365736510,27.43
933,1673365736673,27.45
934,1673365736837,27.45
935,1673365737002,27.45
936,1673365737165,27.45
937,1673365737330,27.46
938,1673365737493,27.46
939,1673365737658,27.46
940,1673365737822,27.46
941,1673365737985,27.46
942,1673365738149,27.46
943,1673365738314,27.46
944,1673365738477,27.46
945,1673365738641,27.47
946,1673365738805,27.48
947,1673365738969,27.47
948,1673365739133,27.46
949,1673365739297,27.47
950,1673365739462,27.46
951,1673365739625,27.47
952,1673365739790,27.46
953,1673365739953,27.46
954,1673365740118,27.45
955,1673365740282,27.46
956,1673365740445,27.47
957,1673365740610,27.46
958,1673365740773,27.46
959,1673365740937,27.46
960,1673365741102,27.47
961,1673365741265,27.45
962,1673365741429,27.46
963,1673365741594,27.46
964,1673365741757,27.46
965,1673365741922,27.46
966,1673365742085,27.46
967,1673365742249,27.46
968,1673365742414,27.45
969,1673365742577,27.45
970,1673365742741,27.45
971,1673365742906,27.45
972,1673365743070,27.45
973,1673365743233,27.44
974,1673365743397,27.46
975,1673365743562,27.44
976,1673365743725,27.45
977,1673365743889,27.44
978,1673365744053,27.44
979,1673365744218,27.44
980,1673365744382,27.43
981,1673365744545,27.43
982,1673365744709,27.44
983,1673365744874,27.44
984,1673365745037,27.43
985,1673365745202,27.43
986,1673365745365,27.42
987,1673365745529,27.42
988,1673365745694,27.41
989,1673365745858,27.42
990,1673365746022,27.42
991,1673365746186,27.42
992,1673365746349,27.41
993,1673365746514,27.41
994,1673365746677,27.42
995,1673365746841,27.42
996,1673365747006,27.4
997,1673365747169,27.41
998,1673365747334,27.4
999,1673365747497,27.41
1000,1673365747662,27.4
1001,1673365747826,27.41
1002,1673365747989,27.41
1003,1673365748154,27.4
1004,1673365748318,27.4
1005,1673365748482,27.4
1006,1673365748646,27.4
1007,1673365748809,27.4
1008,1673365748973,27.4
1009,1673365749137,27.38
1010,1673365749302,27.4
1011,1673365749466,27.38
1012,1673365749629,27.39
1013,1673365749794,27.38
1014,1673365749957,27.38
1015,1673365750121,27.38
1016,1673365750286,27.38
1017,1673365750449,27.37
1018,1673365750613,27.37
1019,1673365750777,27.37
1020,1673365750941,27.36
1021,1673365751105,27.36
1022,1673365751269,27.36
1023,1673365751433,27.35
1024,1673365751597,27.35
1025,1673365751761,27.35
1026,1673365751926,27.34
1027,1673365752089,27.34
1028,1673365752253,27.34
1029,1673365752418,27.34
1030,1673365752581,27.33
1031,1673365752746,27.33
1032,1673365752909,27.33
1033,1673365753074,27.33
1034,1673365753238,27.33
1035,1673365753401,27.33
1036,1673365753565,27.33
1037,1673365753730,27.33
1038,1673365753894,27.32
1039,1673365754057,27.32
1040,1673365754222,27.31
1041,1673365754386,27.3
1042,1673365754549,27.29
1043,1673365754713,27.29
1044,1673365754877,27.3
1045,1673365755041,27.28
1046,1673365755206,27.29
1047,1673365755369,27.29
1048,1673365755533,27.28
1049,1673365755698,27.27
1050,1673365755861,27.28
1051,1673365756026,27.28
1052,1673365756189,27.27
1053,1673365756353,27.27
1054,1673365756518,27.25
1055,1673365756682,27.25
1056,1673365756846,27.25
1057,1673365757009,27.26
1058,1673365757173,27.25
1059,1673365757337,27.24
1060,1673365757501,27.25
1061,1673365757666,27.23
1062,1673365757830,27.24
1063,1673365757993,27.24
1064,1673365758158,27.24
1065,1673365758321,27.23
1066,1673365758486,27.23
1067,1673365758650,27.23
1068,1673365758813,27.22
1069,1673365758977,27.22
1070,1673365759142,27.22
1071,1673365759306,27.23
1072,1673365759470,27.22
1073,1673365759634,27.21
1074,1673365759797,27.21
1075,1673365759961,27.2
1076,1673365760126,27.22
1077,1673365760289,27.2
1078,1673365760453,27.2
1079,1673365760618,27.19
1080,1673365760781,27.19
1081,1673365760946,27.19
1082,1673365761109,27.19
1083,1673365761273,27.19
1084,1673365761437,27.18
1085,1673365761601,27.18
1086,1673365761765,27.17
1087,1673365761930,27.18
1088,1673365762093,27.18
1089,1673365762258,27.17
1090,1673365762421,27.17
1091,1673365762586,27.19
1092,1673365762749,27.18
1093,1673365762913,27.17
1094,1673365763078,27.17
1095,1673365763241,27.17
1096,1673365763405,27.17
1097,1673365763569,27.18
1098,1673365763733,27.16
1099,1673365763898,27.16
1100,1673365764062,27.16
1101,1673365764225,27.16
1102,1673365764390,27.15
1103,1673365764554,27.15
1104,1673365764717,27.16
1105,1673365764882,27.14
1106,1673365765045,27.15
1107,1673365765210,27.16
1108,1673365765373,27.15
1109,1673365765537,27.15
1110,1673365765702,27.15
1111,1673365765865,27.15
1112,1673365766030,27.15
1113,1673365766193,27.16
1114,1673365766357,27.14
1115,1673365766522,27.14
1116,1673365766685,27.14
1117,1673365766850,27.14
1118,1673365767014,27.13
1119,1673365767177,27.13
1120,1673365767341,27.13
1121,1673365767505,27.13
1122,1673365767670,27.13
1123,1673365767833,27.12
1124,1673365767997,27.13
1125,1673365768162,27.13
1126,1673365768325,27.12
1127,1673365768490,27.12
1128,1673365768654,27.12
1129,1673365768818,27.12
1130,1673365768981,27.12
1131,1673365769145,27.12
1132,1673365769309,27.11
1133,1673365769473,27.11
1134,1673365769638,27.11
1135,1673365769801,27.11
1136,1673365769965,27.1
1137,1673365770130,27.1
1138,1673365770293,27.1
